paper_id,au_id,aff_id,aff_name
7D2B7373,6EEF92AC,,
7D2B7373,7B512ABB,,
7D2C9116,813253F8,4FF45383,ibm
7D2CE87A,7F797720,4FF45383,ibm
7D2CE87A,772916E3,4FF45383,ibm
7D300EB0,6FB3B967,34DF872C,university of amsterdam
7D300EB0,0853CFE6,34DF872C,university of amsterdam
7D300EB0,7A84F3AF,34DF872C,university of amsterdam
7D300EB0,82AA5EAE,34DF872C,university of amsterdam
7D300EB0,7A0C246F,34DF872C,university of amsterdam
7D323683,61304A95,04634070,national institute of advanced industrial science and technology
7D323683,808FF654,04634070,national institute of advanced industrial science and technology
7D323683,817065A2,04634070,national institute of advanced industrial science and technology
7D349437,78513A8C,,
7D349437,809BC32E,,
7D34CED4,7D1FE4C6,0A97E0C1,the chinese university of hong kong
7D361F1A,0CB23132,,
7D361F1A,7B54D0E6,,
7D361F1A,14C186D0,,
7D361F1A,42E33A4D,,
7D37E807,85F87E79,09B48D0B,indian institute of technology bombay
7D391F6D,807ECBD2,0A2FAFA5,duke university
7D391F6D,7F4670CB,34C77BFA,hp labs
7D391F6D,774515B3,34C77BFA,hp labs
7D391F6D,7E282E89,34C77BFA,hp labs
7D395763,8284BC46,4FF45383,ibm
7D395763,733E631A,4FF45383,ibm
7D395763,7FA0B4B3,4FF45383,ibm
7D395763,815A68D1,4FF45383,ibm
7D39AB10,80F09EE2,0619822C,karlsruhe institute of technology
7D39AB10,81BA91A3,0619822C,karlsruhe institute of technology
7D39B313,0D928208,003E7116,graz university of technology
7D3A53BE,8600B180,09DC92C5,indiana university bloomington
7D3A53BE,77FA19CF,09DC92C5,indiana university bloomington
7D3A53BE,789BCF86,09DC92C5,indiana university bloomington
7D3A53BE,8627933F,09DC92C5,indiana university bloomington
7D3A53BE,796D3F98,09DC92C5,indiana university bloomington
7D3A53BE,7DCB27D1,09DC92C5,indiana university bloomington
7D3A53BE,84ACEC65,09DC92C5,indiana university bloomington
7D3BAD25,75A2970B,,
7D3CC4BF,0AF077E3,09368EC9,university of california santa barbara
7D3CC4BF,01C66E8C,09368EC9,university of california santa barbara
7D3CC4BF,7FD48418,07C0CC3D,georgia southwestern state university
7D3DB51F,82C68345,09630970,kaist
7D3DB51F,80999C7C,09630970,kaist
7D3DB51F,82A4A48D,09630970,kaist
7D3DB51F,7F14B519,09630970,kaist
7D3FF83E,849104E5,4F076E00,siemens
7D3FF83E,847C92DA,,
7D3FF83E,805BE10A,,
7D40F6F9,81613C10,0A97E0C1,the chinese university of hong kong
7D40F6F9,7DA58A63,0A97E0C1,the chinese university of hong kong
7D40F6F9,80D9C0A8,0A97E0C1,the chinese university of hong kong
7D40F6F9,847ED3F4,0A97E0C1,the chinese university of hong kong
7D4237FA,7E5AC227,34C77BFA,hp labs
7D4237FA,851AAE49,34C77BFA,hp labs
7D4237FA,806F6044,34C77BFA,hp labs
7D4237FA,7AD118B4,34C77BFA,hp labs
7D4237FA,7F981E0D,34C77BFA,hp labs
7D4237FA,75A5A981,34C77BFA,hp labs
7D432505,7D457E02,0A97E0C1,the chinese university of hong kong
7D432505,7ED73AD5,0A97E0C1,the chinese university of hong kong
7D43C0CA,7D302F7C,00C50601,northeastern university
7D43C0CA,813BA68F,00C50601,northeastern university
7D43C0CA,7EDEE9FD,00C50601,northeastern university
7D43C0CA,7DB743BA,00C50601,northeastern university
7D4403C0,6CC7421E,,
7D4403C0,7DE28160,,
7D47697D,698C83F1,037632F0,romanian academy
7D47697D,7D1F16FD,,
7D478139,8359D325,0B185497,lehigh university
7D478139,8009229E,0B185497,lehigh university
7D478139,7ED1FF8E,0B185497,lehigh university
7D488CFE,0EBE528E,0486EC92,free university of berlin
7D488CFE,7CDB4CE7,0724A49B,openlink software
7D488CFE,79762927,,
7D488CFE,807F3031,,
7D48997C,84335561,05282E0D,university of texas at austin
7D49E0A7,7153911C,4F10C1EB,french institute for research in computer science and automation
7D49E0A7,03F2A257,4F10C1EB,french institute for research in computer science and automation
7D49E0A7,7FE54C8C,,
7D49E0A7,7C50DA8A,,
7D49E0A7,77763143,,
7D49E0A7,7A5AAA1D,,
7D49E0A7,7F472346,,
7D49E0A7,75CA7354,,
